zho,eng,zho_reverse
"  对此，上海市徐汇区精神卫生中心主任占归来解释称，冬去春来时，气温、日照的变化对人体的生物钟和激素水平产生影响，光照时间变长可能刺激大脑分泌更多血清素，也可能引起褪黑素分泌减少，进而影响情绪调节，“有些人更为敏感，在这样的变化刺激下易有焦虑、抑郁等情绪波动
","In response, the director of the Xu Wei District Mental Health Center in Shanghai explained that in winter and spring, changes in temperature and sunlight affect the body's biological clock and hormone levels, and the increase in light time may stimulate the brain to secrete more serotonin, or may cause a decrease in the secretion of serotonin, which affects mood regulation, and some people are more sensitive, and these changes can trigger mood swings such as anxiety and depression.","作为回应,上海徐伟区心理健康中心的主任解释说,冬季和春季,温度和阳光的变化影响身体的生物钟和激素水平,"
"”  ——“春困”“伤春”，勿轻视精神心理健康
",The first is that the people of the country are not allowed to take the risk of being bullied.,"首先,该国人民不被允许冒着欺凌的风险."
"春天里易犯困、提不起精神、容易伤怀、陷入忧思……“春困”“伤春”，都是形容在春季时发生的心理、精神方面的不适
","The first few days of spring are easy to get caught up in, not remembering, easily hurt, easily trapped in worry... Springtime is a time of mental and mental discomfort.","春天的第一几天很容易被困,不记得,容易受伤,容易陷入焦虑...春天是精神和精神不适的时刻."
"  无论智驾处于“凑合能用”还是“好用”的阶段，安全始终是不可逾越的底线
","Whether you're in the phase of combining aluminum or aluminum, safety is always the bottom line.","无论你是在或组合阶段,安全是总是最重要的."
"专家提醒，当前的智能驾驶距离完全自动化驾驶还有很长的路要走，即使开启了智驾功能，驾驶员的双手也应时刻放在方向盘上，密切关注路况，以便随时接管车辆，切忌掉以轻心，更不能做出诸如在驾驶过程中睡觉、玩手机等危险行为
","Experts warn that there is still a long way to go from fully automated driving to the current smart driving distance, and even with the smart driving function enabled, drivers should keep their hands on the steering wheel at all times, keeping a close eye on the road conditions, so that they can take over the vehicle at any time, avoid distractions and avoid dangerous activities such as sleeping while driving, playing with their mobile phones.","专家警告说,从完全自动驾驶到目前智能驾驶距离还有很长的路要走,即使智能驾驶功能已启用,"
"  中汽测评技术管理部副部长张鲁提醒消费者，学习和了解智能驾驶系统的功能范围及紧急情况应对方法是安全使用智能驾驶系统的“法宝”，特别是要留意在一些复杂路况或是恶劣天气情况下可能存在表现不佳的情况
","Zhang Lu, Vice Minister of the Ministry of Technical Management, Assessment and Technology, reminds consumers that learning and understanding the scope of the functions and emergency response of the intelligent driving system is a good way to safely use the intelligent driving system, especially in situations where there may be poor performance in some complex road conditions or in bad weather.","技术管理,评估和技术部副部长张卢提醒消费者,学习和了解智能驾驶系统的功能范围以及应对紧急情况是安全使用智能驾驶系统的好方法,特别是在某些复杂的道路条件或恶劣天气下可能出现性能差的情况."
"此外，用户还需及时更新软件以获取最新功能和安全补丁
","In addition, users will need to update the software in a timely manner to get the latest features and security patches.","此外,用户需要及时更新软件,以获得最新功能和安全补丁."
"  这位负责人表示，今年全国两会即将召开，国家林草局将进一步优化办理工作流程，创新工作方法，组织开展综合调研和代表委员座谈，充分吸收采纳意见建议，以更加务实的政策举措，为建设人与自然和谐共生的现代化贡献力量
","The Head of the National Forest Service said that two national conferences will be held this year, and the National Forest Service will further optimize its work processes, innovate its working methods, organize comprehensive research and consultation with representative committees, fully absorb input and recommendations to make more pragmatic policy initiatives to contribute to the modern power of building people and living in harmony with nature.","森林总监说,今年将举行两次全国会议,国家森林总监将进一步优化工作流程,创新工作方法,与代表委员会进行全面的研究和协商,充分吸收意见和建议,以更实用化政策举措,为建设人民和自然和生活的现代力量作出贡献."
"  普洱市文化和旅游局副局长张栖荧说，普洱不仅有普洱茶，还有香气浓郁、略带果酸味的咖啡，“咖旅融合”已成为普洱旅游的一张新名片
","Zhang Zhang, deputy director of the Pyongyang City Department of Culture and Tourism, said that not only is Pyongyang tea available, but also the aroma of the coffee, which is slightly sour, and the combination of the coffee and the coffee has become a new name for Pyongyang tourism.","阳市文化和旅游部副主任张张表示,不仅有平壤茶,还有咖啡的香气,"
"　　（五）坚守政治巡视定位，着力推动巡视更加精准发现问题、有效解决问题　　系统性整治民生领域突出问题
","5. Adhere to the political position of the tour, focusing on promoting the tour to more accurately identify problems, solve problems effectively, systematically correct issues highlighted in the field of public life.","5. 坚持巡回演出的政治立场,重点促进巡回演出,以更准确地确定问题,有效地解决问题,系统地纠正公众生活领域突出的问题."
"紧盯集中整治发现的顽瘴痼疾，持续深化“校园餐”、农村集体“三资”管理、乡村振兴资金使用监管、医保基金管理、养老服务等方面突出问题治理，扎实推进整治殡葬领域腐败乱象专项行动，常态化机制化推进扫黑除恶“打伞破网”
","The focus is on curing the disease discovered, continuing to deepen the curriculum, rural collective fundraising, rural rejuvenation, governance, and other issues in terms of regulation, healthcare fund management, retirement services, and strengthening the promotion of special actions to curate corruption in the field of funeral home burial, and normalization mechanisation, cleaning and eradication of the disease.","专注于治疗发现的疾病,继续深化课程,农村集体筹款,农村复兴,治理等监管,医疗基金管理,退休服务等问题,加强促进葬礼室埋葬领域的腐败特别行动,正常化机械化,清洁和消除疾病."
"深化运用群众点题机制，指导各地选择民生痛点难点因地制宜开展整治，让群众可感可及
","Deepen the use of crowd point questionnaire mechanisms, guide the selection of people's pain points in places and make them accessible to the public.","进一步使用群众点问卷机制,指导人们在地方的疼痛点选择,并使其可供公众使用."
"　　持续发力惩治“蝇贪蚁腐”
",The government has also been working to crack down on corruption.,政府也一直在努力打击腐败.
"紧盯党中央关于乡村全面振兴、惠民富民、防止规模性返贫致贫等方面政策措施落实情况，对反映群众身边腐败问题线索加强督办，对贪污侵占、截留挪用、虚报冒领、吃拿卡要等行为严惩不贷，坚决斩断伸向群众利益的“黑手”
","The Central Party has been tightly aligned with the implementation of policies on rural regeneration, poor people, poverty reduction, and other issues, strengthening its surveillance of the evidence of corruption among the masses, strictly punishing corrupt practices such as encroachment, foreclosure, fraud, and eating potatoes, and firmly holding the monopoly on the black hand that extends to the interests of the masses.","中央党紧密地与农村再生,贫困人口,减贫等问题实施政策保持一致,加强对大众腐败证据的监视,严格惩罚侵权,强迫,欺诈和吃子等腐败行为,并坚定地控制黑人权力,"
"　　进一步完善制度机制
",The government has also been working on improving the mechanisms.,政府也在改善机制方面工作.
"总结运用集中整治经验做法，将齐抓共管的领导机制、纪委监委领导包联的工作机制、突出问题项目化整治的推进机制、部门协作配合的联动机制等经验做法固化为制度
","The report also summarizes the use of centralized experience consolidation practices, consolidating leadership mechanisms that are coordinated, the work of the regulatory commission to lead the partnership, the promotion mechanisms for project consolidation that highlight issues, and the mechanisms for linking collaboration between departments.","报告还总结了集中化经验整合实践的使用,协调的领导机制的整合,监管委员会领导合作的工作,突出问题的项目整合推广机制以及部门之间的合作联系机制."
"优化具体工作方法，加大下沉指导、明察暗访、公开接访、带案下访等工作力度，及时发现、推动解决群众反映强烈的突出问题
","Optimize specific work methods, increase the intensity of the work, such as immersive guidance, insightful interviews, public interviews, follow-up visits, timely detection and promotion of solutions to high-profile issues that reflect the mass.","优化具体的工作方法,提高工作的强度,例如沉浸式指导,有洞察力的面试,公众面试,后续访问,及时发现和推广反映群众的重要问题解决方案."
"对群众反映多、整治成效不明显的工作薄弱县，加强督促指导，强化支持保障，补齐短板弱项
","The weak counties are reflecting the many, improving the results that are not obvious, strengthening the incentive guidance, strengthening the support of guarantees, and filling the shortcut.","弱势县反映了许多,改善了不明显的结果,加强了激励指导,加强了保障支持,并填补了捷径."
"　　群众身边不正之风和腐败问题整治不可能一蹴而就，必须始终高度重视、用心用情用力，聚焦县以下这一关键环节、薄弱环节，再狠抓两年，确保取得更大成效
","The problem of corruption and corruption around the masses cannot be solved at once, and it must always be given high importance, with the use of compassion, focusing on the key link below, the weak link below, and then taking two years to ensure greater results.","必须要非常重视,以同情,重点关注下面的关键链,下面的弱点,"
"  新华社发（丁焕新摄）  “二月二，龙抬头”来临之际，各地举办丰富多彩的活动，喜迎传统节日
","The Chinese government has announced that the Chinese government will be holding a multi-colored event to celebrate the traditional festival on February 2, as the Dragon rises to its peak.","随着龙升至顶峰,中国政府将于2月2日举行多彩活动,"
"  多位受访专家表示，动力电池回收利用面临的问题需要多方面共同努力，应通过政策引导、技术创新、构建完善的回收体系、强化企业责任与宣传教育等措施的实施，逐步推动我国动力电池回收行业健康发展
","Several experts interviewed said that the problem of recycling of power cells requires a multi-faceted effort, and that measures such as policy guidance, technological innovation, the construction of a perfect recycling system, strengthening corporate responsibility and public education should be implemented to promote the healthy development of the power cell recycling industry in China.","采访的几位专家表示,电池回收问题需要多方面的努力,并建议实施政策指导,技术创新,完美的回收系统建设,加强企业责任和公共教育等措施,以促进中国电池回收行业的健康发展."
"（记者 杨秀峰 王跃跃）  刘丽丽建议，应加快制定相关标准体系，完善现有管理制度；提高技术和管理水平，提升我国在国际动力电池回收利用产业中的地位；加快建立科学有效的回收利用体系，从源头确保动力电池得以规范回收
","(Journalist, Liu Xiaofeng Wang Yi) Zhejiang suggested that the development of relevant standards systems should be accelerated, the existing management system improved; the improvement of technical and management levels, the upliftment of China's position in the international recycling industry; the establishment of a scientifically effective recycling system to ensure that recycling can be regulated from the source.","江建议加快相关标准体系的发展,改善现有的管理体系,提高技术和管理水平,提升中国在国际回收行业的地位,建立一个科学有效的回收系统,以确保回收可以从源头上进行监管."
"  随着家用电器逐渐智能化、屋顶光储电站普及和电动汽车占比提升，构建更大规模、更加智能高效的居民虚拟电厂成为可能
","As household appliances are increasingly intelligent, rooftop light storage plants are becoming more popular, and electric cars are increasingly becoming more common, virtual power plants are becoming possible to build larger, more intelligent, and more efficient residential plants.","由于家电越来越智能,屋顶灯光储存厂越来越受欢迎,电动汽车越来越常见,"
"为鼓励更多居民参与虚拟电厂运营，需要设置更加常态化的激励机制，通过多元化激励模式，引导居民家中智能用电设备主动参与虚拟电厂互动
","To encourage more residents to participate in the operation of virtual power plants, more conventional incentive mechanisms are needed to guide residents to actively participate in virtual power plant interaction with smart electrical devices in their homes through a diversified incentive model.","为了鼓励更多居民参与虚拟电站运营,需要更多的传统激励机制,以通过多元化的激励模式引导居民积极参与虚拟电站与家中智能电器互动."
"优化系统交互，统一数据标准，方便居民实时查看贡献与收益，形成透明、高效的互动模式，让低碳生活“看得见摸得着”
","Optimized system interaction, unified data standards, facilitating real-time viewing of contributions and benefits, creating transparent, efficient interaction models that make low-carbon living more visible and tangible.","优化系统互动,统一数据标准,促进实时查看贡献和收益,创造透明,高效的互动模式,使低碳生活更加可见和可形."
"  水谷亨表示，共同社与新华社具有友好交往传统，希望未来进一步巩固合作基础，持续加强交流，拓展合作领域，推动双方合作取得更丰硕成果
","Henk said that the joint venture has a tradition of friendly relations with Xinhua and hopes to further consolidate the basis of cooperation in the future, continue to strengthen exchanges and expand the area of cooperation, and promote more fruitful cooperation between the two sides.","亨克表示,该合资企业与新华社保持友好关系,并希望在未来进一步巩固合作基础,继续加强交流和扩大合作领域,促进双方更具成果的合作."
"　　中国人民解放军和中国人民武装警察部队的党员教育培训工作，由中央军委根据本规划精神制定实施意见
",The education and training of members of the People's Liberation Army of China and the People's Armed Police Force of China shall be carried out by the Central Military Commission in accordance with the spirit of this Plan.,"根据本计划的精神,中央军事委员会应对中国人民解放军和中国人民武装警察部队成员的教育和培训."
"  保持战略定力，勇于担当作为，一以贯之抓好党中央推动西部大开发政策举措的贯彻落实，西部地区正奋力谱写高质量发展新篇章
","The Western Region is working hard to write a new chapter on high-quality development, while maintaining strategic steadfastness, courage and responsibility, and consistently grasping the Party's central position to push the Western Great Development Policy initiatives.","西部地区正在努力写出一个关于高质量的发展的新章节,同时保持战略稳定,勇气和责任,并始终把握党的核心立场推动西部伟大发展政策的倡议."
"请问发言人有何评论？
",The first is the question of what the speaker said.,"第一个问题是,讲者说什么."
"  针对目前车辆的智驾功能，业内专家表示，目前国内智驾类别较多，功能区别较大，有的只适合高快（高速、快速路）领航，有的可实现城区领航及复杂路况，有的则可实现车位到车位及代客泊车、记忆领航等高阶功能，消费者选购智驾车型时须仔细辨别
","In terms of the current vehicle's intelligent driving capabilities, industry experts said that there are more categories of intelligent driving in the country, with greater differences in functions, some are only suitable for high-speed, high-speed, high-speed routes, some can be implemented in urban areas and complex road conditions, others can be implemented in high-level functions such as seating to seats and parking and memory driving, and consumers must carefully identify when they buy intelligent driving models.","关于当前汽车智能驾驶能力,行业专家表示,该国有更多类型的智能驾驶,功能差异更大,有些仅适用于高速,高速,高速路线,有些可以在城市地区和复杂的道路条件下实施,有些可以在座椅和停车和内存驾驶等高级功能上实施,消费者必须仔细确定购买智能驾驶模型时."
"  在中国酒业协会看来，在行业调整期，酒企须高度重视产品结构的优化
","The Chinese Wine Association believes that in the period of industry adjustment, wine companies should pay great attention to product structure optimization.","中国葡萄酒协会认为,在产业调整时期,葡萄酒企业应该高度关注产品结构优化."
"首先，酒企需要根据市场需求调整产品线，增加高性价比产品的比重；其次，酒企须随时关注消费升级趋势，推出更多符合中高端消费者需求的产品；最后，酒企还应通过技术创新，提升产品的品质和特色
","First, wine companies need to adjust their product lines to meet market demands, increasing the proportion of high-quality products to prices; second, wine companies need to keep an eye on consumer upgrading trends and launch more products that meet the needs of mid- and high-end consumers; and lastly, wine companies should also improve the quality and characteristics of their products through technological innovation.","首先,葡萄酒企业需要调整其产品行业,以满足市场需求,从而提高高质量产品与价格的比例;第二,葡萄酒企业需要关注消费者升级趋势,并推出更多满足中等和高端消费者的产品;最后,葡萄酒企业还应该通过技术创新提高其产品质量和特征."
"  招商证券研报认为，白酒龙头主动控货，打破行业挤压惯性，弱需求下目标制定成为竞争胜负手，呼吁酒企降低增长目标注重实际销售
","The New York Times reports that the White Wine Group is actively controlling the goods, breaking the industry's squeeze inertial, setting targets to become competitive under weak demand, and calls on wineries to reduce growth targets by focusing on actual sales.","纽约时报报道说,白葡萄酒集团正在积极控制商品,打破行业压力惰性,设定在需求疲软下成为竞争力目标,并呼吁酒厂通过专注于实际销售来减少增长目标."
"  相关短视频平台应提升技术手段，建立大数据模型进行风险预警，加强对“贫困”“助农”等关键词和内容的审核力度，对高频发布悲情剧情的账号进行重点排查，健全用户举报机制，与公安机关加强协作
","The relevant short video platforms should enhance the technical means of building big data models for risk warning, strengthen the scrutiny of keywords and content such as ""Property Reduction"", ""Property Reduction"", and ""Property Reduction"", focus on screening accounts of high-frequency releases of tragic events, strengthen user reporting mechanisms, and strengthen cooperation with public security agencies.","相关短视频平台应加强构建风险警告的大数据模型的技术手段,加强""财产减少"",""财产减少""和""财产减少""等关键词和内容的审查,重点关注悲剧事件频率高的发布账户的选,加强用户报告机制,加强与公共安全机构的合作."
"同时，还应完善法律惩戒，引导公众提升辨识力，对相关内容保持警惕
","At the same time, legal discipline should be improved, the public should be guided to increase awareness and to be vigilant about relevant content.","同时,应当加强法律纪律,引导公众提高认识,并对相关内容保持警."
"　　（四）持续深化整治群众身边不正之风和腐败问题，着力推动改革发展成果更多更公平惠及全体人民　　以大数据信息化赋能正风反腐
","(iv) Continuously deepen the remediation of the problems of inequality and corruption among the masses, and focus on promoting the results of reform and development to a greater and fairer extent and benefit all people, empowering the positive anti-corruption with big data informatization.","(iv) 不断深化解决群众不平等和腐败问题,并专注于更大,更公平地促进改革发展成果,使所有人受益,通过大数据信息化赋予积极的反腐败力量."
"聚焦“全要素覆盖、全流程贯通、全领域标准、全系统共享”的目标要求，全面推进纪检监察大数据资源中心建设、公权力大数据监督平台建设、纪检监察大数据办案中心建设、纪检监察一体化工作平台建设、纪检监察科技装备建设
","Focus on the full-element coverage, the full process throughput, the standards of the whole field, the goal of system-sharing of the whole system, the comprehensive promotion of the supervision of the construction of big data resource centers, the construction of public authority big data supervision platforms, the construction of big data office centers, the construction of the supervision of the integration work platforms, the construction of the supervision of technology equipment.","专注于全面覆盖,全面流程吞吐量,整个领域的标准,整个系统系统共享目标,全面促进对大数据资源中心建设的监督,建设公共当局大数据监督平台,大数据办公中心的建设,建设集成工作平台的监督,技术设备的监督建设."
"提高监督穿透力，依靠大数据分析精准发现不正之风和腐败问题线索，加强预警纠治
","Improve the penetration of surveillance, reliance on big data analysis to detect clues of wrong winds and corruption, and strengthen the pre-warning of corrections.","提高监控的普及,依赖大数据分析来检测错误风和腐败的线索,加强预警的纠正."
"提高办案效能，加强信息查询分析研判，运用大数据技术迅速有效突破案件
","Improve case efficiency, strengthen information query analysis and research, and use big data technology to quickly and effectively break through cases.","提高案例效率,加强信息查询分析和研究,并利用大数据技术快速有效地突破案例."
"提高留置保障能力，探索开发智慧看护、智能监管等信息系统
","To improve the capacity of the security guard, explore the development of information systems such as smart care, smart regulation and more.","为了提高安全人员的能力,探索智能护理,智能监管等信息系统的发展."
"严格使用权限管控，确保信息安全保密
",Strict use of authorization and controls to ensure the security of information and confidentiality,严格使用授权和控制以确保信息安全和保密性
"　　以“查”、“治”贯通阻断风腐演变
","The first is the use of a filter, a spray, a spray to block the wind from turning.","首先是使用过器,喷雾器,喷雾器来阻止风转动."
"加强规律研究，深刻把握由风及腐、从量变到质变的特点规律，把风腐同查同治理念要求贯穿案件查办、整改纠治、警示教育等各方面，形成办案、治理、监督、教育的有效闭环
","Strengthen the study of the laws, deeply grasp the laws of characteristics from the wind and corruption, from quantity to mass, and apply the laws of corruption and checks and governance to all aspects of case-control, correctional management, education and alertness, to form an effective closed loop of administration, governance, supervision and education.","加强法律的研究,深入了解从风和腐败,从数量到量化的特征法,并将腐败和检查和治理的法规应用于案件控制,惩戒管理,教育和警觉的所有方面,形成有效的关闭循环的管理,治理,监督和教育."
"加强类案分析，找出共性问题、深层次问题，用好纪检监察建议，推动深化改革、堵塞漏洞、规范权力运行
","Strengthen case analysis, identify common issues and deep issues, make good case-control and supervisory recommendations, promote deeper reforms, block loopholes, and regulate the exercise of powers.","加强案例分析,确定共同问题和深层问题,做出良好的案例控制和监督建议,促进更深入的改革,阻止漏洞,并调节权力行使."
"加强制度建设，制定关于推进不正之风和腐败问题同查同治的意见，推动风腐同查同治全流程规范、全链条衔接
","Strengthen the institutional construction, develop opinions on the promotion of corruption and corruption, promote the regulation of all processes and link the whole chain.","加强机构建设,制定关于促进腐败和腐败的意见,促进所有过程的监管,并连接整个链."
"  受访人士认为，剧本摆拍谣言的本质是“流量黑产”，其危害远超普通谣言，治理需多方联手，形成合力
","The people interviewed believe that the nature of the rumours that the script is about the flow of black products, which is far more harmful than ordinary rumours, and that governance needs to be a multi-party collaboration to form a coalition.","面试者认为, 关于黑产品流动的谣言, 比普通的谣言更有害,"
"　　境克彦对傅华的到访表示欢迎
","The Chinese government has also welcomed the visit of the Chinese leader, Xi Jinping.",华盛顿政府也欢迎中国领导人习近平的访问.
"他表示，两社签订的新合作文件为双方友好关系打开新篇章，期待未来与新华社加强互学互鉴，共同建立长期稳定的合作关系
","He said the new cooperation document signed by the two companies opens a new chapter in the friendship between the two companies, and looks forward to strengthening mutual learning and mutual recognition with Xinhua in the future and building a long-term stable cooperation.","他表示,两家公司签署的新合作文件开启了两家公司之间的友的新篇章,并期待在未来与新华社加强互学习和互认同,建立长期稳定的合作."
"　　傅华指出，媒体是各国政治交往、经济合作、文化交流的重要桥梁
","The media is an important bridge between political interactions, economic cooperation and cultural exchanges.","媒体是政治互动,经济合作和文化交流之间的重要桥梁."
"多年来，中日两国媒体记者用心用情记录了大量反映两国人民友好交往的感人故事和历史瞬间
","Over the years, Chinese-Japanese media journalists have carefully and affectionately recorded a large number of touching stories and historical moments that reflect the friendly interaction between the people of the two countries.","过去几年中,中日媒体记者仔细和亲切地记录了大量的触动故事和历史时刻,"
"时事社是新华社的重要合作伙伴，双方合作取得了丰硕成果
","The Times is an important partner of Xinhua, and the two sides have achieved great results.","报纸是新华社的重要合作伙伴,"
"在新技术带来媒体行业变革的当下，新华社愿与时事社加强技术交流、不断拓展在经济信息等领域的合作，在世界媒体峰会框架下积极开展协调配合，共同致力于建立互惠务实的交流合作关系
","In a time when new technologies are changing the media industry, the Chinese Association is committed to strengthening technical exchanges with news agencies, continuing to expand cooperation in areas such as economic information, and actively coordinating cooperation within the framework of the World Media Summit, working together to establish mutually beneficial and practical exchange partnerships.","在新技术正在改变媒体行业的时代,中国协会致力于加强与新闻机构的技术交流,继续扩大在经济信息等领域的合作,并在世界媒体峰会框架内积极协调合作,共同建立互利和实践交流伙伴关系."
"  “从中长期来看，我国锂、钴、镍等电池材料对外依存度高，大力发展动力电池回收利用产业对我国资源战略安全和发展循环经济具有重要意义
","In the medium to long term, China's lithium, lithium, lithium and other battery materials are highly dependent on each other, and the development of the power battery recycling industry is important for the strategic security of our resources and the development of the circular economy.","长期来看,中国,,和其他电池材料高度相互依赖,电池回收行业的发展对于我们资源的战略安全和循环经济的发展至关重要."
"”杨林表示，相关部门应在适当时机出台相关政策，推动退役动力电池梯次利用，加大梯次利用技术攻关
",Dr. Jung said that relevant departments should introduce relevant policies at the appropriate time to promote the use of decommissioned power batteries and increase the use of technology.,"博士表示,有关部门应在适当的时间内制定相关政策,以促进退役电池使用,并增加技术使用."
"  新华社记者 王鹏 摄  随着天气逐渐转暖，黄河宁夏段迎来众多候鸟驻足
","The Chinese journalist Wang Feng-Cher said that as the weather warms up, the Yellow River's wintering zone has hosted a large number of migratory birds.","随着天气变暖,黄河冬季区已经迎来了大量的迁徙鸟类."
"近年来，宁夏全力推动黄河流域生态保护和高质量发展先行区建设，黄河及两岸湿地的保护力度不断加大，生态环境持续向好，黄河两岸的滩涂、湿地已成为候鸟重要的补给站、栖息地
","In recent years, Ningxia has been working to promote ecological protection and high-quality development of the Yellow River basin, the protection of the Yellow River and wetlands on both banks has been increasing, the ecological environment has continued to improve, the wetlands on both banks of the Yellow River have become important feed stations and habitat for birds.","近年来,宁夏一直致力于促进黄河盆地生态保护和高质量的发展,黄河和两岸湿地保护不断增加,生态环境不断改善,黄河两岸湿地已成为鸟类的重要料站和息地."
"蒙曼说，正月十五是灯节，也是元宵节，是最热闹的
","Moonman said the 15th of January is the festival of lights and the night before Christmas, the hottest.","月人说,1月15日是灯光节,圣诞前夜是最热的."
"过去有夜禁制度，所以平常大家晚上是不上街的
","The government has banned the use of night locks, so people usually do not go out at night.","政府禁止使用夜间锁,所以人们通常在夜间不出去."
"差不多从正月十三开始上灯，大家也都出来，到街上走
","Almost from the 13th of January, the lights went on, and everyone went out and walked down the street.","几乎从1月13日起,灯光点燃了,"
"过了正月十五，这个年就差不多过完了
","It's been 15 months, and this year is almost over.","已经过了15个月,今年几乎结束了."
"而在北方，它还有一个漫长的收尾，收尾收到二月二
","In the north, it has a long end, ending on February 2.","在北方,它有一个长期的结束,结束于2月2日."
"二月二龙抬头，吃龙须面，吃猪头，然后，整个年基本上就算过完了
","The dragon in February looked up, ate the dragon's face, ate the pig's head, and then, the whole year was basically over.","龙在2月抬头看,吃了龙的脸,吃了猪的头,然后,整年基本上结束了."
"（记者 杨秀峰 王跃跃）
","(Reporter: Sheng-Shu Peong, King Jia-Yup)",",我在,我在,我在."
"即使达成矿产协议，乌克兰是否有能力和意愿无限期地履行这份合同？”
","Even with the Mining Agreement, is Ukraine capable and willing to fulfil the contract indefinitely?","尽管有采矿协议,乌克兰是否能够和愿意无限期地履行该合同?"
"  【记者观察】就业是最大的民生
",The report also noted that the number of people living in the country is the highest in terms of employment.,"报告还指出,就业人口在该国居留最多."
"各地各部门要抓好节后用工关键窗口期，用“真金白银”援企稳岗，以产业升级扩大就业空间，延续开工稳、就业稳的好势头，让更多劳动者端牢“饭碗”、共创共享发展成果
","The key window period for the sector to use the key working hours after the holiday, to strengthen the business with silver and silver, to expand the employment space, to maintain the employment stability and good momentum, to allow more workers to eat their meals and share developmental results.","业界的关键窗口时间是利用假期后的关键工作时间,以加强银银业务,扩大就业空间,保持就业稳定和良好的势头,让更多工人吃饭,分享发展成果."
"  经回看当日赛场视频，证实秦思玥当天凌晨进入赛场藏匿手机，在比赛过程中用手机使用人工智能程序作弊；被询问有关事实时存在隐瞒行为，情节严重
","After reviewing the video of the race, it was confirmed that the youngster had entered the race early that morning to hide his mobile phone, cheating with an AI program on his mobile phone during the race; when asked about the existence of concealment, the plot was serious.","在审查比赛的视频后,确认年轻人早上进入比赛,以隐藏手机,在比赛期间与手机上的AI程序作弊; 当被问及隐藏存在时,阴谋很严重."
"  蔡奇表示，习近平总书记同通伦总书记共同签署构建中老命运共同体新的五年行动计划以来，中老关系发展势头强劲
",Liu said that China's relations have been developing strongly since Secretary General Xi Jinping and Secretary General Thong Lan jointly signed the new Five-Year Action Plan for the construction of the Chinese Old Destiny Community.,"表示,自从习近平总书记和兰总书记共同签署了新五年行动计划,建设中国旧命运共同体以来,中国的关系一直在强发展."
"中方愿同老方一道，以两党两国最高领导人重要共识为引领，保持高层交往，聚焦发展合作，加强治党治国经验交流互鉴，密切在东盟、澜湄合作等多边框架下协作配合，推动中老命运共同体建设行稳致远
","China is willing to lead alongside the old party, to maintain high-level interactions, focus on development cooperation, strengthen the exchange of experiences and mutual recognition of the governance of the party, cooperate closely within the multilateral framework of ASEAN, China Cooperation and other countries, and promote the building of the China Old Destiny Community.","中国愿与旧党一起领导,保持高层次的互动,重点发展合作,加强经验交流和对党的治理的相互承认,在东盟,中国合作等国家多边框架内密切合作,促进中国旧命运共同体建设."
